OSPCD,SPCD,Common name,Scientific.Name,Genus,Family,MTYPE,N,P,N/P,,
12,12,balsam fir,Abies_balsamea,Abies,Abietaceae,ECM,11.89999984,0.948000132,12.5527407,,
16,1,fraser fir,Abies_fraseri,Abies,Abietaceae,ECM,,,#DIV/0!,,
57,68,,,,,,,,#DIV/0!,,
68,68,red cedar,Juniperus_virginiana,Juniperus,Cupressaceae,AM,16.39999983,1.300000154,12.61538299,,
71,71,tamarack,Larix_laricina,Larix,Pinaceae,ECM,15.04222,1.6,9.4013875,,
91,91,norway spruce,Picea_abies,Picea,Pinaceae,ECM,10.5775,1.6766,6.308898962,,
94,94,white spruce,Picea_glauca,Picea,Pinaceae,ECM,11.89999984,1.150000145,10.34782464,,
95,95,black spruce,Picea_mariana,Picea,Pinaceae,ECM,11.89999984,0.950000132,12.52631388,,
105,105,jack pine,Pinus_banksiana,Pinus,Pinaceae,ECM,13.99999984,0.862000126,16.24129674,,
110,110,shortleaf pine,Pinus_echinata,Pinus,Pinaceae,ECM,12.99999984,0.800000122,16.24999732,,
125,125,red pine,Pinus_resinosa,Pinus,Pinaceae,ECM,11.79999984,0.862000126,13.68909294,,
126,126,pitch pine,Pinus_rigida,Pinus,Pinaceae,ECM,11.89999984,0.700000116,16.99999695,,
129,129,eastern white pine,Pinus_strobus,Pinus,Pinaceae,ECM,14.29999984,1.000000135,14.29999791,,
130,130,scotch pine,Pinus_sylvestris,Pinus,Pinaceae,ECM,11.78575722,1.1662848,10.10538525,,
131,131,loblolly pine,Pinus_taeda,Pinus,Pinaceae,ECM,10.59999984,0.92800013,11.42241202,,
132,132,virginia pine ,Pinus_virginiana,Pinus,Pinaceae,ECM,11.79999984,0.862000126,13.68909294,,
202,202,douglas-fir,Pseudotsuga_menziesii,Pseudotsuga,Pinaceae,ECM,20.977986,1.48173,14.15776558,,
221,221,bald-cypress,Taxodium_distichum,Taxodium,Cupressaceae,AM,13.1775,,#DIV/0!,,
241,241,northern white cedar,Thuja_occidentalis,Thuja,Cupressaceae,AM,10.21285714,1.47,6.947521864,,
261,261,eastern hemlock,Tsuga_canadensis,Tsuga,Pinaceae,ECM,11.99999984,0.948000132,12.65822592,,
313,313,box-elder,Acer_negundo,Acer,Sapindaceae,AM,27.79999982,1.770000185,15.70621295,,
314,314,black maple,Acer_nigrum,Acer,Sapindaceae,AM,,,#DIV/0!,,
315,315,striped maple,Acer_pensylvanicum,Acer,Sapindaceae,AM,15.07155,2.7,5.582055556,*,
316,316,red maple,Acer_rubrum,Acer,Sapindaceae,AM,16.19999984,1.290000154,12.55813791,,
317,317,silver maple,Acer_saccharinum,Acer,Sapindaceae,AM,20.89999983,1.85000019,11.29729605,,
318,318,sugar maple,Acer_saccharum,Acer,Sapindaceae,AM,20.89999983,1.85000019,11.29729605,,
319,319,mountain maple,Acer_spicatum,Acer,Sapindaceae,AM,21.6,1.9,11.36842105,*,
320,320,norway maple,Acer_platanoides,Acer,Sapindaceae,AM,22.8071133,2.18711,10.42796809,,
330,331,,,,,,,,#DIV/0!,,
331,331,ohio buckeye,Aesculus_glabra,Aesculus,Aesculaceae,AM,,,#DIV/0!,,
332,332,yellow buckeye,Aesculus_flava,Aesculus,Aesculaceae,AM,,,#DIV/0!,,
336,336,red buckeye,Aesculus_pavia,Aesculus,Aesculaceae,AM,,,#DIV/0!,,
337,337,painted buckeye,Aesculus_sylvatica,Aesculus,Aesculaceae,AM,,,#DIV/0!,,
341,341,Tree of Heaven,Ailanthus_altissima,Ailanthus,Simaroubaceae,AM,,,#DIV/0!,,
355,355,european alder,Alnus_glutinosa,Alnus,Betulaceae,ECM,,,#DIV/0!,,
356,356,serviceberry spp,Amelanchier_spp,Amelanchier,Rosaceae,AM,,,#DIV/0!,*,
357,356,,,,,,,,#DIV/0!,,
358,356,,,,,,,,#DIV/0!,,
367,367,pawpaw,Asimina_triloba,Asimina,Annonaceae,AM,,,#DIV/0!,*,
371,371,yellow birch,Betula_alleghaniensis,Betula,Betulaceae,ECM,20.39999983,2.070000204,9.85507141,,
372,372,sweet birch,Betula_lenta,Betula,Betulaceae,ECM,23.29999983,1.770000185,13.16384034,,
373,373,river birch,Betula_nigra,Betula,Betulaceae,ECM,22.99999983,1.770000185,12.99434883,,
374,374,water birch,Betula_occidentalis,Betula,Betulaceae,ECM,,,#DIV/0!,,
375,375,paper birch,Betula_papyrifera,Betula,Betulaceae,ECM,20.19999983,1.55000017,13.03225653,,
391,391,american hornbeam,Carpinus_caroliniana,Carpinus,Betulaceae,ECM,20.59999983,1.370000159,15.03649448,*,
401,401,water hickory,Carya_aquatica,Carya,Juglandaceae,ECM,20.69999983,1.54000017,13.44155685,,
402,402,bitternut hickory,Carya_cordiformis,Carya,Juglandaceae,ECM,26,3.2,8.125,,
403,403,pignut hickory,Carya_glabra,Carya,Juglandaceae,ECM,17.69999983,1.000000135,17.69999744,,
404,404,pecan,Carya_illioninensis,Carya,Juglandaceae,ECM,,,#DIV/0!,,
405,405,shellbark hickory,Carya_laciniosa,Carya,Juglandaceae,ECM,,,#DIV/0!,,
406,406,nutmeg hickory,Carya_myristiciformis,Carya,Juglandaceae,ECM,,,#DIV/0!,,
407,407,shagbark hickory,Carya_ovata,Carya,Juglandaceae,ECM,22.69999983,1.930000195,11.76165675,,
408,408,black hickory,Carya_texana,Carya,Juglandaceae,ECM,,,#DIV/0!,,
409,409,mockernut hickory,Carya_tomentosa,Carya,Juglandaceae,ECM,19.79999983,1.000000135,19.79999716,,
410,410,sand hickory,Carya_pallida,Carya,Juglandaceae,ECM,,,#DIV/0!,,
411,411,scrub hickory,Carya_floridana,Carya,Juglandaceae,ECM,13.6,,#DIV/0!,,
412,412,red hickory,Carya_ovalis,Carya,Juglandaceae,ECM,24.9,,#DIV/0!,,
421,421,american chestnut,Castanea_dentata,Castanea,Fagaceae,ECM,22.9084,,#DIV/0!,,
424,424,chinese chestnut,Castanea_mollissima,Castanea,Fagaceae,ECM,22.9,1.5,15.26666667,,
451,451,southern catalpa,Catalpa_bignonioides,Catalpa,Bignoniaceae,AM,,,#DIV/0!,,
452,452,northern catalpa,Catalpa_speciosa,Catalpa,Bignoniaceae,AM,,,#DIV/0!,,
461,462,,,,,,,,#DIV/0!,,
462,462,hackberry,Celtis_occidentalis,Celtis,Cannabaceae,AM,26.609124,2.44065,10.90247434,,
471,471,eastern redbud,Cercis_canadensis,Cercis,Fabaceae,AM,22.09999983,1.320000156,16.74242213,*,
491,491,flowering dogwood,Cornus_florida,Cornus,Cornaceae,AM,16.09789474,1.6125,9.983190536,,
500,500,hawthorn spp,Crataegus_spp,Crataegus,Rosaceae,AM,,,#DIV/0!,*,
502,500,,,,,,,,#DIV/0!,,
520,521,,,,,,,,#DIV/0!,,
521,521,common persimmon,Diospyros_virginiana,Diospyros,Ebenaceae,AM,15.15,,#DIV/0!,,
531,531,american beech,Fagus_grandifolia,Fagus,Fagaceae,ECM,21.19999983,1.330000156,15.93984763,,
541,541,white ash,Fraxinus_americana,Fraxinus,Oleaceae,AM,20.59999983,2.510000232,8.207170488,,
543,543,black ash,Fraxinus_nigra,Fraxinus,Oleaceae,AM,20.99,1.2,17.49166667,,
544,544,green ash,Fraxinus_pennsylvanica,Fraxinus,Oleaceae,AM,16.69999983,1.830000189,9.125682025,,
545,545,pumpkin ash,Fraxinus_profunda,Fraxinus,Oleaceae,AM,,,#DIV/0!,,
546,546,blue ash,Fraxinus_quadrangulata,Fraxinus,Oleaceae,AM,,,#DIV/0!,,
551,552,,,,,,,,#DIV/0!,,
552,552,honey-locust,Gleditsia_triacanthos,Gleditsia,Fabaceae,AM,44.90345,3.56168,12.6073791,,
571,571,kentucky coffee-tree,Gymnocladus_dioicus,Gymnocladus,Fabaceae,AM,,,#DIV/0!,,
591,591,american holly,Ilex_opaca,Ilex,Aquifoliaceae,AM,12.94142857,,#DIV/0!,,
601,601,butternut ,Juglans_cinera,Juglans,Juglandaceae,AM,,,#DIV/0!,,
602,602,black walnut,Juglans_nigra,Juglans,Juglandaceae,AM,26.695,1.584732178,16.84511767,,*********
605,605,texas walnut,Juglans_microcarpa,Juglans,Juglandaceae,,,,#DIV/0!,,
611,611,sweet-gum,Liquidambar_styraciflua,Liquidambar,Altingiaceae,AM,16.79999983,1.200000148,13.99999813,,
621,621,yellow-poplar,Liriodendron_tulipifera,Liriodendron,Magnoliaceae,AM,21.99999983,1.000000135,21.99999686,,
641,641,osage-orange,Maclura_pomifera,Maclura,Moraceae,AM,,,#DIV/0!,,
650,650,magnolia spp,Magnolia_spp,Magnolia,Magnoliaceae,AM,,,#DIV/0!,,
651,651,cucumber-tree,Magnolia_acuminata,Magnolia,Magnoliaceae,AM,18.19999983,1.200000148,15.16666465,,
652,652,southern magnolia,Magnolia_grandiflora,Magnolia,Magnoliaceae,AM,13.39999984,1.200000148,11.16666516,,
660,660,apple spp,Malus_spp,Malus,Rosaceae,AM,,,#DIV/0!,*,
663,660,,,,,,,,#DIV/0!,,
680,681,,,,,,,,#DIV/0!,,
681,681,white mulberry,Morus_alba,Morus,Moraceae,AM,,,#DIV/0!,,
682,682,red mulberry ,Morus_rubra,Morus,Moraceae,AM,10.75,,#DIV/0!,,
684,684,black mulberry,Morus_nigra,Morus,Moraceae,AM,,,#DIV/0!,,
693,693,black-gum,Nyssa_sylvatica,Nyssa,Nyssaceae,AM,17.59999983,1.150000145,15.30434575,,
694,694,swamp tupelo ,Nyssa_biflora,Nyssa,Nyssaceae,AM,,,#DIV/0!,,
701,701,eastern hophornbeam,Ostrya_virginiana,Ostrya,Betulaceae,ECM,20.69999983,1.870000191,11.0695175,,
712,712,paulownia,Paulownia_spp,Paulownia,Paulowniaceae,AM,,,#DIV/0!,,
731,731,american sycamore ,Platanus_occidentalis,Platanus,Platanaceae,AM,28.09999982,1.53489,18.30750075,,
740,742,,,,,,,,#DIV/0!,,
741,741,balsam poplar,Populus_balsamifera,Populus,Salicaceae,ECM,19.3775,2.9,6.681896552,,
742,742,eastern cottonwood,Populus_deltoides,Populus,Salicaceae,ECM,,,#DIV/0!,,
743,743,big-tooth aspen,Populus_grandidentata,Populus,Salicaceae,ECM,23.09999983,2.0000002,11.54999876,,
744,744,swamp cottonwood,Populus_heterophylla,Populus,Salicaceae,ECM,24.04,,#DIV/0!,,
745,742,,,,,,,,#DIV/0!,,
746,746,quaking aspen,Populus_tremuloides,Populus,Salicaceae,ECM,23.49999983,1.770000185,13.27683467,,
761,761,pin cherry,Prunus_pensylvanica,Prunus,Rosaceae,AM,24.93,2,12.465,*,
762,762,black cherry,Prunus_serotina,Prunus,Rosaceae,AM,23.69999983,3.320000285,7.138553553,,
763,763,common chokecherry,Prunus_virginiana,Prunus,Rosaceae,AM,26.38608,1.2,21.9884,*,
764,764,peach,Prunus_persica,Prunus,Rosaceae,AM,,,#DIV/0!,*,
765,765,canada plum,Prunus_nigra,Prunus,Rosaceae,,,,#DIV/0!,,
766,766,american plum,Prunus_americana,Prunus,Rosaceae,,,,#DIV/0!,,
800,800,generic oak,Quercus_spp,Quercus,Fagaceae,ECM,,,#DIV/0!,,
802,802,white oak,Quercus_alba,Quercus,Fagaceae,ECM,20.49999983,1.370000159,14.96350179,,
804,804,swamp white oak,Quercus_bicolor,Quercus,Fagaceae,ECM,,,#DIV/0!,,
806,806,scarlet oak,Quercus_coccinea,Quercus,Fagaceae,ECM,12.79999984,0.600000109,21.33332919,,
808,808,durand oak,Quercus_durandii,Quercus,Fagaceae,ECM,,,#DIV/0!,,
809,809,northern pin oak,Quercus_ellipsoidalis,Quercus,Fagaceae,ECM,23.732,,#DIV/0!,,
812,812,southern red oak,Quercus_palustris,Quercus,Fagaceae,ECM,11.5,,#DIV/0!,,
813,813,cherrybark oak,Quercus_pagoda,Quercus,Fagaceae,ECM,,,#DIV/0!,,
816,816,scrub oak,Quercus_berberidifolia,Quercus,Fagaceae,ECM,13.3206835,,#DIV/0!,,
817,817,shingle oak,Quercus_imbricaria,Quercus,Fagaceae,ECM,,,#DIV/0!,,
819,819,turkey oak,Quercus_laevis,Quercus,Fagaceae,ECM,11.87428571,,#DIV/0!,,
820,820,laurel oak,Quercus_laurifolia,Quercus,Fagaceae,ECM,13.19999984,1.24000015,10.64515987,,
822,822,overcup oak,Quercus_lyrata,Quercus,Fagaceae,ECM,22.9,,#DIV/0!,,
823,823,bur oak,Quercus_macrocarpa,Quercus,Fagaceae,ECM,22.39999983,1.930000195,11.60621636,,
824,824,blackjack oak,Quercus_marilandica,Quercus,Fagaceae,ECM,13.79999984,1.24000015,11.12903078,,
825,825,swamp chestnut oak,Quercus_michauxii,Quercus,Fagaceae,ECM,15.89999984,1.24000015,12.82257897,,
826,826,chinkapin oak,Quercus_muehlenbergii,Quercus,Fagaceae,ECM,16.29019819,1.247272878,13.06065295,,**********
827,827,water oak,Quercus_nigra,Quercus,Fagaceae,ECM,12.89999984,1.24000015,10.40322442,,
828,828,nuttall oak,Quercus_texana,Quercus,Fagaceae,ECM,,,#DIV/0!,,
830,830,pin oak,Quercus_palustris,Quercus,Fagaceae,ECM,11.5,,#DIV/0!,,
831,831,willow oak,Quercus_phellos,Quercus,Fagaceae,ECM,16.69999983,1.24000015,13.46774017,,
832,832,chestnut oak,Quercus_montana,Quercus,Fagaceae,ECM,16.29019819,1.247272878,13.06065295,,**********
833,833,northern red oak,Quercus_rubra,Quercus,Fagaceae,ECM,19.39999983,1.140000144,17.01754156,,
834,834,Shumard's oak,Quercus_shumardii,Quercus,Fagaceae,ECM,16.7966,,#DIV/0!,,
835,835,post oak,Quercus_stellata,Quercus,Fagaceae,ECM,17.29999983,1.24000015,13.95161108,,
836,836,delta post oak,Quercus_similis,Quercus,Fagaceae,ECM,,,#DIV/0!,,
837,837,black oak,Quercus_velutina,Quercus,Fagaceae,ECM,16.69999983,1.24000015,13.46774017,,
901,901,black locust,Robinia_pseudoacacia,Robinia,Fabaceae,AM,37.08592868,2.304953,16.08966807,,
920,920,willow,Salix_spp,Salix,Salicaceae,ECM,,,#DIV/0!,,
921,921,peachleaf willow,Salix_amygdaloides,Salix,Salicaceae,ECM,,,#DIV/0!,*,
922,922,black willow,Salix_nigra,Salix,Salicaceae,ECM,25,1.3,19.23076923,,
923,923,bebb  willow,Salix_bebbiana,Salix,Salicaceae,ECM,,,#DIV/0!,,
929,929,weeping willow ,Salix_babylonica,Salix,Salicaceae,ECM,,,#DIV/0!,,
931,931,sassafras,Sassafras_albidum,Sassafras,Lauraceae,AM,18.99999983,1.53489,12.37873713,,
937,937,northern mountain ash,Sorbus_decora,Sorbus,Rosaceae,,,,#DIV/0!,,
951,951,american basswood ,Tilia_americana,Tilia,Malvaceae,ECM,26.39999982,2.830000253,9.328621011,,
971,971,winged elm ,Ulmus_alata,Ulmus,Ulmaceae,AM,22.19999983,2.32000022,9.568964537,,
972,972,american elm,Ulmus_americana,Ulmus,Ulmaceae,AM,19.29999983,1.950000196,9.897434815,,
974,974,siberian elm,Ulmus_pumila,Ulmus,Ulmaceae,AM,24.515634,1.598,15.34144806,,
